id,data_provider,country,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
fixitclinic_1,"Fixit Clinic",USA,"Small home electrical",Sunbeam,Gcsbbv-201,2016,Unknown,"Fixit Clinic",2018-01-02,"Iron ~ Steam selector switch broken, tip of soleplate broken"
fixitclinic_2,"Fixit Clinic",USA,"Small home electrical",Sunbeam,Gcsbbv-201,2016,Unknown,"Fixit Clinic",2018-01-02,Iron
fixitclinic_3,"Fixit Clinic",USA,"Decorative or safety lights",GE,"7 ft Pre-lit Just cut medium frasier fir",????,Unknown,"Fixit Clinic",2018-01-13,"Artificial christmas tree lights"
fixitclinic_4,"Fixit Clinic",USA,Fan,Holmes,"HOA - 1200",????,Unknown,"Fixit Clinic",2018-01-14,"12"" Table Fan"
fixitclinic_5,"Fixit Clinic",USA,Vacuum,"Hoover ",U505-930,????,Unknown,"Fixit Clinic",2018-01-14,"upright vacuum "
fixitclinic_6,"Fixit Clinic",USA,"Hi-Fi separates",Curtis,RCD670,????,Unknown,"Fixit Clinic",2018-01-14,"CD player"
fixitclinic_7,"Fixit Clinic",USA,Fan,Aries,Unknown,????,Unknown,"Fixit Clinic",2018-01-14,Fan
fixitclinic_8,"Fixit Clinic",USA,"Small kitchen item","kitchen aid",KSB5MC4,2008,Unknown,"Fixit Clinic",2018-01-14,"blender ~ A part required replacing. The directions supplied with the new part(s) made replacement procedure unclear."
fixitclinic_9,"Fixit Clinic",USA,"Portable radio",SONY,ICF-SW30,????,Repairable,"Fixit Clinic",2018-01-19,"SSW Radio /Dual Conversion12 Bands/Dual Clock/FM Stereo/SW/MW/PLL Synthesized Receiverual Clock Radio"
fixitclinic_10,"Fixit Clinic",USA,"Sewing machine","Brother ","Can’t remember ",????,Unknown,"Fixit Clinic",2018-01-21,"Sewing machine  ~ Only sews backwards"
fixitclinic_11,"Fixit Clinic",USA,"Small kitchen item","Black and Decker",Unknown,????,"End of life","Fixit Clinic",2018-01-21,"Rice cooker"
fixitclinic_12,"Fixit Clinic",USA,"Portable radio",Son,CF-350,????,Fixed,"Fixit Clinic",2018-01-21,"FM/AM Radio Cassette-Corder"
fixitclinic_14,"Fixit Clinic",USA,"Small kitchen item",Cuisinart,Unknown,????,Repairable,"Fixit Clinic",2018-01-21,Toaster
fixitclinic_16,"Fixit Clinic",USA,Tablet,"Apple ",2014,2014,Fixed,"Fixit Clinic",2018-01-27,"ipad  ~ Not accepting password "
fixitclinic_18,"Fixit Clinic",USA,"Sewing machine","Singer ""Featherweight""  ","1940s? ",2008,Fixed,"Fixit Clinic",2018-01-27,"Sewing Machine ~ Bobbin threader not working "
fixitclinic_20,"Fixit Clinic",USA,Lamp,N/A,"N/A ",2008,Repairable,"Fixit Clinic",2018-01-27,"Lamp  ~ Needs rewiring and new switch"
fixitclinic_23,"Fixit Clinic",USA,"Small kitchen item","Cuisinart ",Unknown,2008,Fixed,"Fixit Clinic",2018-01-27,"Cuisinart Food Mixer  ~ No power "
fixitclinic_24,"Fixit Clinic",USA,Toy,"Roman Inc","Roman Inc",2008,Fixed,"Fixit Clinic",2018-01-27,"Christmas Song Village ~ Stopped Singing"
fixitclinic_25,"Fixit Clinic",USA,Toy,"Not sure?","Not sure? Found it at swap shop! ",????,Fixed,"Fixit Clinic",2018-01-27,"Barbie CD Player - Pink with radio ~ Skipping when moved at all "
fixitclinic_26,"Fixit Clinic",USA,"Small kitchen item","Cusinart Smart Stick Hand Blender ",CSB-76,2013,Fixed,"Fixit Clinic",2018-01-27,"Immersion Blender ~ Won't blend without terrible noise - gear coming out "
fixitclinic_27,"Fixit Clinic",USA,Fan,Holmes,Unknown,2014,Fixed,"Fixit Clinic",2018-01-27,"Fan ~ Doesn't Spin "
fixitclinic_28,"Fixit Clinic",USA,Watch/clock,Personalization,Unknown,2009,Fixed,"Fixit Clinic",2018-01-27,"Clock ~ Clock hands fell off "
fixitclinic_29,"Fixit Clinic",USA,Lamp,Unknown,"Needs socket and new wire ",2008,Repairable,"Fixit Clinic",2018-01-27,"Lamp ~ Needs new socket and rewiring "
fixitclinic_31,"Fixit Clinic",USA,Lamp,?,?,2008,Fixed,"Fixit Clinic",2018-01-27,"Lamp ~ I want a three way socket installed "
fixitclinic_32,"Fixit Clinic",USA,Vacuum,"Meili ","Found it in a metal pile ",????,Repairable,"Fixit Clinic",2018-01-27,"Vacuum ~ Cord doesn't retract "
fixitclinic_33,"Fixit Clinic",USA,"Sewing machine","Viking Husqvarna ",Unknown,2008,Fixed,"Fixit Clinic",2018-01-27,"Sewing Machine ~ Function slide is not working "
fixitclinic_35,"Fixit Clinic",USA,Aircon/Dehumidifier,"Austin Air","Helpmate Jr.",????,Repairable,"Fixit Clinic",2018-01-28,"room air purifier"
fixitclinic_37,"Fixit Clinic",USA,Lamp,"unknown/ Danish",unknown,????,Fixed,"Fixit Clinic",2018-01-28,"desk lamp"
fixitclinic_38,"Fixit Clinic",USA,Laptop,"Lenovo ",T430,2013,Unknown,"Fixit Clinic",2018-01-28,"Laptop ~ 2017 , Screen Broken"
fixitclinic_39,"Fixit Clinic",USA,Lamp,Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-01-29,Lamp
fixitclinic_40,"Fixit Clinic",USA,Toy,Canto,"HL 8",????,Repairable,"Fixit Clinic",2018-01-29,"Kid's keyboard"
fixitclinic_41,"Fixit Clinic",USA,Lamp,Target,"Liberty for Target collection c. 2008?",????,Fixed,"Fixit Clinic",2018-01-29,"Bedside lamp"
fixitclinic_43,"Fixit Clinic",USA,"Sewing machine","Sears Kenmore ","60 Years Old ",2008,Repairable,"Fixit Clinic",2018-01-29,"Sears Kenmore Sewing Machine Hot Pedal Control  ~ Stopped working "
fixitclinic_45,"Fixit Clinic",USA,Headphones,C02Y,C02Y,2017,Unknown,"Fixit Clinic",2018-01-30,"Wireless headphones ~ Not charging "
fixitclinic_46,"Fixit Clinic",USA,"Sewing machine",Unknown,Unknown,2008,Fixed,"Fixit Clinic",2018-01-30,"Sewing Machines ~ Doesn't work "
fixitclinic_47,"Fixit Clinic",USA,"Small kitchen item",Braun,2004,2008,Fixed,"Fixit Clinic",2018-01-30,"plastic food processor top  ~ Chute part melted, want to cut top part off so I can use the pusher "
fixitclinic_48,"Fixit Clinic",USA,Lamp,"Unclear (older model - ceramic body)","It was a gift in 2013",2013,Fixed,"Fixit Clinic",2018-01-30,"LAMP ~ It will not light "
fixitclinic_50,"Fixit Clinic",USA,"PC Accessory","Apple/Logitech ",Unknown,????,Unknown,"Fixit Clinic",2018-01-30,"Computer & Bluetooth keyboard  ~ Keyboards have problems "
fixitclinic_51,"Fixit Clinic",USA,"Small kitchen item","Black & Decker",Infra-wave,????,Fixed,"Fixit Clinic",2018-01-30,"Toaster  ~ Difficult to engage ""plunger/starter"" arm "
fixitclinic_52,"Fixit Clinic",USA,"Sewing machine",Kenmore,1960s,2008,Fixed,"Fixit Clinic",2018-01-30,"Sewing Machine ~ Tension needs adjustments and needs cleaning "
fixitclinic_53,"Fixit Clinic",USA,"Sewing machine","Janome ",ME4014,2008,Fixed,"Fixit Clinic",2018-01-30,"Sewing Machine ~ Bobbin pops out "
fixitclinic_56,"Fixit Clinic",USA,Lamp,"? ",?,2008,Fixed,"Fixit Clinic",2018-01-30,"Swedish Candelabra  ~ Stopped working suddenly- used every year at Christmas "
fixitclinic_59,"Fixit Clinic",USA,"Portable radio",Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-01-31,radio
fixitclinic_60,"Fixit Clinic",USA,Lamp,"not sure","not sure",2008,"End of life","Fixit Clinic",2018-02-02,"wired in light fixture ~ threaded part which holds bulb broke off"
fixitclinic_61,"Fixit Clinic",USA,Watch/clock,Sunbeam,90774-SPR,????,Fixed,"Fixit Clinic",2018-02-08,"Wall Clock"
fixitclinic_62,"Fixit Clinic",USA,"Small home electrical",Swiffer,Unknown,????,Fixed,"Fixit Clinic",2018-02-09,"Swiffer WetJet floor mop"
fixitclinic_63,"Fixit Clinic",USA,Headphones,sennheiser,"HD 439",????,Fixed,"Fixit Clinic",2018-02-09,headphones
fixitclinic_64,"Fixit Clinic",USA,Aircon/Dehumidifier,"Living Air","XL-15C, XL-15",????,Fixed,"Fixit Clinic",2018-02-09,Ozonator
fixitclinic_65,"Fixit Clinic",USA,"Small home electrical",Mitshubishi,666,2008,Unknown,"Fixit Clinic",2018-02-10,"Electric Dog Polisher ~ fails to start-up "
fixitclinic_66,"Fixit Clinic",USA,"Small kitchen item",dualit,Unknown,2008,Repairable,"Fixit Clinic",2018-02-10,"toaster ~ mechanical timer"
fixitclinic_68,"Fixit Clinic",USA,"Small kitchen item",Cuisinart,Unknown,????,Fixed,"Fixit Clinic",2018-02-11,blender
fixitclinic_70,"Fixit Clinic",USA,Fan,Windbreeze,"See original entry",????,Repairable,"Fixit Clinic",2018-02-12,Fan
fixitclinic_72,"Fixit Clinic",USA,"Hair & Beauty item",Braun,"don't know",????,Fixed,"Fixit Clinic",2018-02-14,"electric toothbrush (recharageable)"
fixitclinic_77,"Fixit Clinic",USA,Mobile,Apple,"iPhone 6s",????,Fixed,"Fixit Clinic",2018-02-16,smartphone
fixitclinic_78,"Fixit Clinic",USA,Fan,Windchaser,"Previously given",????,Repairable,"Fixit Clinic",2018-02-20,Fan
fixitclinic_79,"Fixit Clinic",USA,Kettle,Melitta,MEK17W,2008,Fixed,"Fixit Clinic",2018-02-20,"Hot Water Kettle ~ Does not heat, the thermal fuse opened up.  "
fixitclinic_81,"Fixit Clinic",USA,"Power tool",Ryobi,RY30020A,????,Repairable,"Fixit Clinic",2018-02-25,"Weed wacker"
fixitclinic_83,"Fixit Clinic",USA,"Portable radio",Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-02-26,"clock radio w/cd player ~ cd player just spins and spins; no without player disk"
fixitclinic_84,"Fixit Clinic",USA,"Small kitchen item",KitchenAid,Pro600,2008,Fixed,"Fixit Clinic",2018-02-27,"mixer ~ Planetary mechanism had fallen off "
fixitclinic_85,"Fixit Clinic",USA,"Small kitchen item",Kenmore,405.7212931,2014,Fixed,"Fixit Clinic",2018-03-02,"microwave ~ did not turn on"
fixitclinic_87,"Fixit Clinic",USA,"Small kitchen item",Rancilio,Rocky,????,Fixed,"Fixit Clinic",2018-03-02,"Coffee Grinder"
fixitclinic_88,"Fixit Clinic",USA,"Small kitchen item","Hamilton Beach",Unknown,????,Fixed,"Fixit Clinic",2018-03-02,Toaster
fixitclinic_89,"Fixit Clinic",USA,Laptop,"Apple ","Macbook Pro (late 2011 vintage)",2010,Unknown,"Fixit Clinic",2018-03-03,"Laptop ~ I need to clone the hard drive, and potentially reinstall the OS.  Hard drive and OS had no problem before  submitting laptop to Central Computer in Santa Clara for warranty repair, and now they allege there is a problem.  Historically this laptop had a manufacturing defect that Apple refused to repair under warranty.  The laptop was purchased in February 2012, even though it is considered late 2011 with a 2010 mfg date.  Supposedly the GPU failed due to a defect in the lead free solder.  I submitted it to Central Computer for repair without knowing that they don't do their own work and contract it out.  They have worked on it three different times, and no one really knows what they did on the first repair.  The laptop failed after 60 days, and failed three weeks later after the 2nd repair.  I am about to pickup the laptop after the 3rd repair, but apparently Central Computer now alleges something is wrong with the hard drive.  The hard drive was tested and in good working order after the 2nd repair, so I am a bit suspicious.  "
fixitclinic_91,"Fixit Clinic",USA,Watch/clock,Copal,unknown,????,Fixed,"Fixit Clinic",2018-03-04,clock
fixitclinic_93,"Fixit Clinic",USA,Headphones,Sony,Professional,????,Fixed,"Fixit Clinic",2018-03-04,Headphones
fixitclinic_94,"Fixit Clinic",USA,"Small home electrical",Petwell,Unknown,????,Fixed,"Fixit Clinic",2018-03-04,"Cat fountain"
fixitclinic_95,"Fixit Clinic",USA,Lamp,unknown,"floor lamp",????,Repairable,"Fixit Clinic",2018-03-04,"lamp switch"
fixitclinic_96,"Fixit Clinic",USA,"Small kitchen item","Both were Cuisinart",Unknown,????,Unknown,"Fixit Clinic",2018-03-04,"Two food processors"
fixitclinic_97,"Fixit Clinic",USA,Laptop,"MacBook Pro","15"" Core 2 Duo",????,Repairable,"Fixit Clinic",2018-03-06,"laptop computer"
fixitclinic_98,"Fixit Clinic",USA,"Hi-Fi separates",Yamaha,SU700,2008,Repairable,"Fixit Clinic",2018-03-21,"Music Sampler ~ Encoders need to be replaced "
fixitclinic_99,"Fixit Clinic",USA,"Small kitchen item",KitchenAid,"Professional 6",????,Repairable,"Fixit Clinic",2018-03-25,mixer
fixitclinic_102,"Fixit Clinic",USA,Misc,SanDisk,Unknown,????,Unknown,"Fixit Clinic",2018-03-25,"SDHD Camera Card"
fixitclinic_104,"Fixit Clinic",USA,Lamp,"hand made",Unknown,????,Fixed,"Fixit Clinic",2018-03-26,lamp
fixitclinic_105,"Fixit Clinic",USA,"Small kitchen item","Dominion Electrical Mfg, Mansfield, OH",1301,????,Repairable,"Fixit Clinic",2018-03-26,"electric waffle iron"
fixitclinic_107,"Fixit Clinic",USA,Watch/clock,Timex,Ironman,????,Repairable,"Fixit Clinic",2018-03-26,"Timex Ironman Watch"
fixitclinic_108,"Fixit Clinic",USA,Lamp,N/A,N/A,????,Fixed,"Fixit Clinic",2018-03-26,Lamp
fixitclinic_110,"Fixit Clinic",USA,"Power tool",DeWALT,DW990,????,Fixed,"Fixit Clinic",2018-03-26,"cordless drill"
fixitclinic_112,"Fixit Clinic",USA,"Musical instrument",Roland,TR-707,2008,Repairable,"Fixit Clinic",2018-03-30,"Drum Machine ~ Power Supply issue. Also, a bigger issue. I think something is wrong with the tempo. it seems to not be consistent. "
fixitclinic_113,"Fixit Clinic",USA,"Musical instrument",Paia,"Fatman kit (originally assembled by me)",2008,Unknown,"Fixit Clinic",2018-04-01,"Analog synth ~ It was fully functional and then now there is no output though its indication lights still show it powers on and receives midi signal. The light for “gate” no longer lights up. "
fixitclinic_115,"Fixit Clinic",USA,Laptop,"IBM thinkpad","Not sure",????,Repairable,"Fixit Clinic",2018-04-06,"laptop ~ It wont login. An error message keeps popping up"
fixitclinic_116,"Fixit Clinic",USA,"Hi-Fi separates",Bose,"Soundlink Color II",????,Repairable,"Fixit Clinic",2018-04-07,"Wireless speaker "
fixitclinic_118,"Fixit Clinic",USA,Printer/scanner,HP,"Officejet 6500A plus",2010,Repairable,"Fixit Clinic",2018-04-26,"printer ~ paper jam error with no paper jammed. "
fixitclinic_119,"Fixit Clinic",USA,Tablet,"Amazon / Apple",Unknown,2008,Repairable,"Fixit Clinic",2018-04-27,"tablet and ipod ~ Won't turn on / won't charge"
fixitclinic_121,"Fixit Clinic",USA,"Small kitchen item",KRUPS,FDE3,????,Fixed,"Fixit Clinic",2018-04-29,"Panini grill ~ One of the thermal fuses did not work (240 Cs)"
fixitclinic_124,"Fixit Clinic",USA,"Small kitchen item","Kitchen Aid",NA,????,Unknown,"Fixit Clinic",2018-05-07,"electric handmixer"
fixitclinic_127,"Fixit Clinic",USA,Mobile,Samsung,"note 4, N910T",2015,Repairable,"Fixit Clinic",2018-05-18,"Cell phone ~ Sim card reader broken off."
fixitclinic_128,"Fixit Clinic",USA,Mobile,"LG Sprint","G5 ",2015,Repairable,"Fixit Clinic",2018-05-18,"Cell phone ~ I won't turn on, glass screen cracked, last time I tried to charge it it smelled like it was burning."
fixitclinic_129,"Fixit Clinic",USA,Toy,Mercedes,Ssrt,2016,Repairable,"Fixit Clinic",2018-05-18,"Power wheels car ~ Won't turn on"
fixitclinic_130,"Fixit Clinic",USA,Laptop,Apple,"2016 MacBook Pro",2016,Repairable,"Fixit Clinic",2018-05-22,"2016 MacBook Pro  ~ A friend replaced my broken screen and somehow broke the connecting wires and lost my WiFi card :("
fixitclinic_131,"Fixit Clinic",USA,"Large home electrical","I will have to ask. I am doing this for a friend.",Unknown,????,Repairable,"Fixit Clinic",2018-05-30,Lawnmower
fixitclinic_132,"Fixit Clinic",USA,"Small kitchen item",phillips,3456kl,2011,Repairable,"Fixit Clinic",2018-06-01,"toaster ~ burns"
fixitclinic_133,"Fixit Clinic",USA,Laptop,Toshiba,"Satellite ",????,Fixed,"Fixit Clinic",2018-06-11,"vintage laptop computer"
fixitclinic_134,"Fixit Clinic",USA,Lamp,"looks like specialty hand-made item","Unknown ",????,Fixed,"Fixit Clinic",2018-06-11,"Lamp with music box"
fixitclinic_135,"Fixit Clinic",USA,Toy,"Made and bought in Japan","Don't know ",????,Fixed,"Fixit Clinic",2018-06-11,"Music box with movable parts"
fixitclinic_137,"Fixit Clinic",USA,Watch/clock,Unknown,"Tradition ?",????,Fixed,"Fixit Clinic",2018-06-12,"Electric wall clock"
fixitclinic_140,"Fixit Clinic",USA,"Small kitchen item",Oster,100271-000,2008,Repairable,"Fixit Clinic",2018-06-20,"Kitchen mixer ~ Burned out rheostat "
fixitclinic_141,"Fixit Clinic",USA,Tablet,"android nexus","nexus 4",2014,Repairable,"Fixit Clinic",2018-07-01,"tablet ~ Broken screen"
fixitclinic_142,"Fixit Clinic",USA,"Sewing machine",Juki,DDL-227,????,Fixed,"Fixit Clinic",2018-07-02,"Juki DDL-227 Industrial Straight Stitch Sewing Machine"
fixitclinic_143,"Fixit Clinic",USA,"Hair & Beauty item",Doterra,Doterra,????,Fixed,"Fixit Clinic",2018-07-02,"Aromatherapy machine"
fixitclinic_144,"Fixit Clinic",USA,"Handheld entertainment device","Anina / Mokioo",Mokioo,????,Fixed,"Fixit Clinic",2018-07-02,"Live streaming glasses"
fixitclinic_145,"Fixit Clinic",USA,Tablet,Google,"Nexus 7 2nd generation",????,Fixed,"Fixit Clinic",2018-07-02,"Android Tablet"
fixitclinic_146,"Fixit Clinic",USA,Watch/clock,"Made in Germany","Not sure",????,Repairable,"Fixit Clinic",2018-07-06,"1960s CooCoo Clock"
fixitclinic_147,"Fixit Clinic",USA,"Desktop computer",HP,"Pavilion ",2008,Fixed,"Fixit Clinic",2018-07-15,"Desktop computer  ~ Fan failed error message at boot up "
fixitclinic_148,"Fixit Clinic",USA,Mobile,Apple,"iPhone 5s",2016,Fixed,"Fixit Clinic",2018-07-15,"Smart phone ~ I had trouble charging my phone. It would not change at times. "
fixitclinic_149,"Fixit Clinic",USA,Toy,Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-07-15,"Musical duck"
fixitclinic_150,"Fixit Clinic",USA,"Portable radio",Realistic,portiplayer,????,Repairable,"Fixit Clinic",2018-07-15,"portable 8 track/radio"
fixitclinic_151,"Fixit Clinic",USA,Misc,"Western Electric",702BM,????,Unknown,"Fixit Clinic",2018-07-16,"Princess telephone"
fixitclinic_152,"Fixit Clinic",USA,Lamp,"Don’t know","Don’t know",????,Fixed,"Fixit Clinic",2018-08-10,Lamp
fixitclinic_153,"Fixit Clinic",USA,Watch/clock,Pebble,"Pebble Classic",2014,Repairable,"Fixit Clinic",2018-08-10,"Smartwatch ~ Can't turn on. Assuming that the charger didn't actual charge the watch"
fixitclinic_155,"Fixit Clinic",USA,"Hi-Fi separates",bose,"sounddock series 2",2014,Unknown,"Fixit Clinic",2018-08-11,"speakers ~ doesn't turn on"
fixitclinic_156,"Fixit Clinic",USA,"Portable radio",Capello,"CR-25 ",????,Unknown,"Fixit Clinic",2018-08-11,"AM/FM Radio"
fixitclinic_158,"Fixit Clinic",USA,"Small kitchen item","Black & Decker",Unknown,????,Repairable,"Fixit Clinic",2018-08-11,"mini refridge"
fixitclinic_160,"Fixit Clinic",USA,"Small kitchen item",Breville,Unknown,????,Fixed,"Fixit Clinic",2018-08-11,"Breville convection toaster oven"
fixitclinic_161,"Fixit Clinic",USA,"Small kitchen item",Breville,Unknown,????,Fixed,"Fixit Clinic",2018-08-11,"Breville convection toaster oven"
fixitclinic_162,"Fixit Clinic",USA,"Decorative or safety lights","don't know","don't know",????,"End of life","Fixit Clinic",2018-08-11,"track lighting fixture"
fixitclinic_163,"Fixit Clinic",USA,Vacuum,iRobot,630,????,Fixed,"Fixit Clinic",2018-08-11,"roomba vacuum "
fixitclinic_166,"Fixit Clinic",USA,"Small kitchen item",Sunbeam,"1942 model",????,Fixed,"Fixit Clinic",2018-08-11,"waffle iron"
fixitclinic_169,"Fixit Clinic",USA,Lamp,Unknown,Unknown,????,Repairable,"Fixit Clinic",2018-08-11,"Nightlight/ flashlight"
fixitclinic_170,"Fixit Clinic",USA,"Digital Compact Camera",canon,"powershot sd1200 is",????,Unknown,"Fixit Clinic",2018-08-11,cameracanon
fixitclinic_171,"Fixit Clinic",USA,Laptop,Apple,"2011 MacBook Pro ",????,Unknown,"Fixit Clinic",2018-08-18,"Laptop "
fixitclinic_173,"Fixit Clinic",USA,Lamp,Unknown,Unknown,????,Repairable,"Fixit Clinic",2018-08-19,Lamp
fixitclinic_174,"Fixit Clinic",USA,Lamp,unknown,unknown,????,Fixed,"Fixit Clinic",2018-08-19,lamp
fixitclinic_175,"Fixit Clinic",USA,"Musical instrument",Yamaha,"Motif 6",????,Repairable,"Fixit Clinic",2018-08-19,"61 key synth (musical instrument)"
fixitclinic_177,"Fixit Clinic",USA,Aircon/Dehumidifier,Edgestar,701,????,Repairable,"Fixit Clinic",2018-08-19,"Portable dehumidifier "
fixitclinic_178,"Fixit Clinic",USA,"Decorative or safety lights","Don’t know","Don’t know",????,Unknown,"Fixit Clinic",2018-08-19,"Tiny solar light string"
fixitclinic_181,"Fixit Clinic",USA,Vacuum,Hoover,"Elite Rewind",????,Fixed,"Fixit Clinic",2018-08-20,"Vacuum cleaner"
fixitclinic_182,"Fixit Clinic",USA,"Sewing machine",Singer,4830C,????,Repairable,"Fixit Clinic",2018-08-22,"Sewing machine"
fixitclinic_187,"Fixit Clinic",USA,"DLSR / Video Camera",Sony,HDavchd,2015,Unknown,"Fixit Clinic",2018-09-08,"camcorder ~ Can't get video file off the camcorder"
fixitclinic_188,"Fixit Clinic",USA,Laptop,toshiba,satellite,2010,Repairable,"Fixit Clinic",2018-09-11,"laptop pc  ~ broken screen"
fixitclinic_189,"Fixit Clinic",USA,"Small kitchen item",PB,na,2018,Unknown,"Fixit Clinic",2018-09-16,"toaster ~ no idea sorry"
fixitclinic_190,"Fixit Clinic",USA,Laptop,toshiba,satellite,????,Repairable,"Fixit Clinic",2018-09-17,laptop
fixitclinic_192,"Fixit Clinic",USA,"Decorative or safety lights",Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-09-17,"flashlight ~ doesn't lit"
fixitclinic_193,"Fixit Clinic",USA,Headphones,skullcandy,Unknown,2012,Repairable,"Fixit Clinic",2018-09-17,"earphone ~ no sound "
fixitclinic_194,"Fixit Clinic",USA,"Paper shredder",Ativa,DQ60M,????,Fixed,"Fixit Clinic",2018-09-30,"Paper Shredder"
fixitclinic_195,"Fixit Clinic",USA,"Hair & Beauty item",Panasonic,Unknown,????,Fixed,"Fixit Clinic",2018-09-30,Trimmer
fixitclinic_197,"Fixit Clinic",USA,"Hair & Beauty item","Water Pik Inc",WP-130W,2014,Repairable,"Fixit Clinic",2018-10-01,"Waterpik-Water Flosser ~ The external 1/4"" plastic pipe is broken due to old age, and water leaks out, need to glue it to fix the broken pipe."
fixitclinic_199,"Fixit Clinic",USA,Toy,Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-10-01,"Dora the Explorer music player"
fixitclinic_200,"Fixit Clinic",USA,Toy,Unknown,Unknown,2016,Repairable,"Fixit Clinic",2018-10-02,"Christmas Exterior Inflatables ~ Fan motor does not work, can't inflate."
fixitclinic_201,"Fixit Clinic",USA,"Small kitchen item",oster,Unknown,????,"End of life","Fixit Clinic",2018-10-02,toaster
fixitclinic_202,"Fixit Clinic",USA,Watch/clock,braun,4759/AB312,2008,Repairable,"Fixit Clinic",2018-10-04,"travel clock ~ doesn't work anymore"
fixitclinic_203,"Fixit Clinic",USA,"Paper shredder",Unknown,Unknown,????,Unknown,"Fixit Clinic",2018-10-07,shredder
fixitclinic_204,"Fixit Clinic",USA,"Paper shredder",Unknown,Unknown,????,Fixed,"Fixit Clinic",2018-10-07,"Shredder "
fixitclinic_206,"Fixit Clinic",USA,"Portable radio","Tivoli Henry kloss","Model 2",????,Fixed,"Fixit Clinic",2018-10-07,Radii
fixitclinic_207,"Fixit Clinic",USA,Lamp,Coleman,41OJ,????,Repairable,"Fixit Clinic",2018-10-07,"Gas lantern"
